species,pu,amount
11,569,423.80503125
11,570,83.727937402
11,571,111.854155469
11,572,62.940845947
12,572,14.694993896
13,572,7.147595459
11,573,530.621635889
12,573,8.801276563
13,573,6.686827686
11,574,82.860609082
12,574,15.184030176
13,574,480.878787061
11,575,172.839863477
11,576,41.154542578
26,578,114.559035938
17,579,21.696035059
18,579,49.235091504
19,579,284.18694165
20,579,343.910661084
17,580,111.226274121
18,580,237.160225537
19,580,40.655854248
20,580,40.104347754
17,581,713.481881348
18,581,258.176127148
19,581,124.396912646
20,581,292.732768604
17,582,260.850523828
18,582,511.587657373
19,582,134.429008203
20,582,88.080664014
17,583,1.439697217
18,583,99.721486426
25,583,537.947183838
25,584,321.185308057
25,585,333.980212354
10,586,2297.138852979
25,586,521.222753271
10,587,4156.921938184
25,587,226.050780957
10,588,4070.896250586
25,588,240.728949805
10,589,834.326624902
11,589,17.688973633
25,589,26.275292725
10,591,595.442020508
10,592,2069.544468604
11,592,114.680412207
25,592,1
10,593,1227.802961377
11,593,116.338451221
11,594,175.328723389
12,594,70.96527334
13,594,9.827624951
11,595,411.315175781
11,596,47.622990527
12,596,20.24748916
13,596,60.924932959
11,597,567.45825835
11,598,159.352864404
11,599,699.500882813
12,599,59.086723193
13,599,34.64332124
12,600,213.011226025
13,600,61.654956055
11,601,1
12,601,33.854089453
13,601,40.623290771
11,602,35.649933545
11,603,509.504134814
11,604,315.664326514
18,606,0.026071729
19,606,35.337343701
20,606,0.740403027
26,606,123.375744141
17,607,132.237556396
18,607,231.945401416
19,607,156.060397119
20,607,732.855026758
17,608,298.180632861
18,608,313.060864258
19,608,58.786983057
20,608,130.517068945
17,609,186.625807422
18,609,258.371710889
19,609,308.580869678
20,609,76.186763721
17,610,4.867884863
18,610,99.687024951
19,610,27.891273438
20,610,10.000198584
17,611,0.100112158
18,611,1.764500684
25,611,1036.675922217
25,612,531.480725049
25,613,1002.505055713
10,614,3506.563790283
25,614,154.383872949
10,615,4156.921938135
25,615,48.780237354
10,616,3951.391918896
25,616,205.230095215
10,617,2559.019548633
11,617,63.886731152
25,617,28.192707471
10,618,1606.427850293
10,619,1878.609429102
11,619,201.973799609
10,620,4156.921938086
11,620,88.500431543
25,620,5.365405518
11,621,34.832468848
12,621,88.731815918
13,621,3
11,622,34.382854004
12,622,83.348887061
13,622,24.029634717
11,623,245.097505859
12,623,179.284702441
13,623,478.817225
11,624,112.775121631
12,624,15.378518896
13,624,4.999999805
11,625,391.91540874
11,626,100.768237988
13,626,148.878283887
12,627,580.787812305
13,627,215.750211816
12,628,591.812958984
13,628,128.386658496
12,629,37.476410352
13,629,12.178362988
11,630,404.804065137
11,631,28.426680225
17,634,126.937737061
18,634,317.275625488
19,634,105.703046973
20,634,393.99414248
26,634,110.167983838
17,635,101.343441406
18,635,193.782248291
19,635,195.88267124
20,635,382.88961499
17,636,262.633311035
18,636,371.110684668
19,636,240.035085059
20,636,218.79876167
17,637,153.542649072
18,637,134.317283594
19,637,250.655777979
20,637,115.865837402
17,638,8.260056592
18,638,314.826892139
19,638,24.072599512
20,638,4.171085889
25,638,16.930571533
25,639,449.010478857
25,640,520.506666113
25,641,259.473726025
10,642,3952.62576167
25,642,250.194939014
10,643,4156.921938135
25,643,405.886544873
10,644,4156.921938184
25,644,193.657070361
10,645,3596.253967676
11,645,218.771136914
10,646,3856.4599125
11,646,360.726661865
10,647,4156.921938184
11,647,203.552964355
25,647,5.802551367
10,648,3148.440082227
11,648,497.719240479
11,649,423.858454785
12,649,519.247817969
13,649,17.06530166
11,650,268.778837012
12,650,151.887616553
13,650,140.645421436
12,651,213.908741943
13,651,87.237798438
11,652,60.852098145
12,652,178.811882959
13,652,79.061940771
11,653,54.457046191
12,653,49.394663086
13,653,482.381563965
11,654,14.065185986
12,654,332.087140234
13,654,154.846947119
12,655,120.599102393
13,655,397.708116357
12,656,66.52169082
13,656,167.089098193
11,657,49.357892236
12,657,44.049610596
13,657,57.228525586
11,658,330.914643213
11,659,2.05404292
18,661,154.148003076
19,661,183.24409751
20,661,88.864558447
26,661,78.267064893
17,662,90.435327344
18,662,306.315459814
19,662,88.098187549
20,662,479.037472852
17,663,220.848096973
18,663,280.677351563
19,663,226.79905752
20,663,222.130243994
17,664,59.804854541
18,664,210.222182666
19,664,368.501915918
20,664,172.240940576
17,665,6.589741699
18,665,9.368751221
19,665,107.260406445
20,665,114.063896582
17,666,6.117632275
18,666,88.404266309
19,666,8.410871191
20,666,12.227430322
25,666,537.208039258
25,667,477.132794531
25,668,367.688318115
10,669,36.138022559
25,669,43.960564063
10,670,4156.921938232
25,670,134.759098291
10,671,4156.921938135
25,671,295.198364551
10,672,4156.921938184
11,672,84.24140625
25,672,312.92255376
10,673,4156.921938184
11,673,211.036331689
25,673,0.241312451
10,674,3656.213667969
11,674,501.515906152
25,674,1
10,675,4156.921938184
11,675,135.167883594
25,675,1.640380957
10,676,3220.842049609
11,676,160.648953027
12,677,51.887421143
13,677,146.629047266
12,678,285.584002393
13,678,476.97535083
11,679,1.369361963
12,679,126.118260205
13,679,281.422055566
11,680,378.878010986
12,680,136.358921631
