id1	id2	boundary
409	437	4000.00000
409	464	4000.00000
410	410	12000.00000
410	437	4000.00000
410	465	4000.00000
413	413	4000.00000
413	441	4000.00000
413	468	4000.00000
414	441	4000.00000
414	442	4000.00000
414	469	4000.00000
415	442	4000.00000
415	443	4000.00000
415	470	4000.00000
416	443	4000.00000
416	444	4000.00000
416	471	4000.00000
417	444	4000.00000
417	445	4000.00000
417	472	4000.00000
418	445	4000.00000
418	446	4000.00000
418	473	4000.00000
419	446	4000.00000
419	447	4000.00000
419	474	4000.00000
420	447	4000.00000
420	448	4000.00000
420	475	4000.00000
421	421	8000.00000
421	448	4000.00000
421	449	4000.00000
421	476	4000.00000
434	434	12000.00000
434	462	4000.00000
434	489	4000.00000
437	464	4000.00000
437	465	4000.00000
437	492	4000.00000
441	468	4000.00000
441	469	4000.00000
441	496	4000.00000
442	469	4000.00000
442	470	4000.00000
442	497	4000.00000
443	470	4000.00000
443	471	4000.00000
443	498	4000.00000
444	471	4000.00000
444	472	4000.00000
444	499	4000.00000
445	472	4000.00000
445	473	4000.00000
445	500	4000.00000
446	473	4000.00000
446	474	4000.00000
446	501	4000.00000
447	474	4000.00000
447	475	4000.00000
447	502	4000.00000
448	475	4000.00000
448	476	4000.00000
448	503	4000.00000
449	449	8000.00000
449	476	4000.00000
449	477	4000.00000
449	504	4000.00000
462	462	4000.00000
462	489	4000.00000
462	490	4000.00000
462	517	4000.00000
464	464	4000.00000
464	491	4000.00000
464	492	4000.00000
464	519	4000.00000
465	465	4000.00000
465	492	4000.00000
465	493	4000.00000
465	520	4000.00000
468	468	8000.00000
468	496	4000.00000
468	523	4000.00000
469	496	4000.00000
469	497	4000.00000
469	524	4000.00000
470	497	4000.00000
470	498	4000.00000
470	525	4000.00000
471	498	4000.00000
471	499	4000.00000
471	526	4000.00000
472	499	4000.00000
472	500	4000.00000
472	527	4000.00000
473	500	4000.00000
473	501	4000.00000
473	528	4000.00000
474	501	4000.00000
474	502	4000.00000
474	529	4000.00000
475	502	4000.00000
475	503	4000.00000
475	530	4000.00000
476	503	4000.00000
476	504	4000.00000
476	531	4000.00000
477	477	8000.00000
477	504	4000.00000
